region_code,Year,Vaccine,Vaccinated,Target,Coverage,Not Covered,Unvaccinated,region_name
AMR,2015,RCV1,13696000.0,14775000.0,92.69712351945854,7.302876480541457,1079000.0,Americas
AMR,2015,Rotac,11242000.0,13835000.0,81.25767979761474,18.742320202385258,2593000.0,Americas
AMR,2015,YFV,3534000.0,6420000.0,55.04672897196262,44.95327102803738,2886000.0,Americas
AMR,2016,BCG,9592000.0,10324000.0,92.90972491282449,7.090275087175513,732000.0,Americas
AMR,2016,DTP1,13933000.0,14531000.0,95.88466038125387,4.115339618746134,598000.0,Americas
AMR,2016,DTP3,13221000.0,14531000.0,90.98479113619159,9.015208863808411,1310000.0,Americas
AMR,2016,Hepb3,12821000.0,14531000.0,88.23205560525771,11.767944394742287,1710000.0,Americas
AMR,2016,Hepbb,7350000.0,10285000.0,71.46329606222655,28.536703937773453,2935000.0,Americas
AMR,2016,Hib3,13113000.0,14531000.0,90.24155254283944,9.758447457160557,1418000.0,Americas
AMR,2016,IPV1,12830000.0,14531000.0,88.29399215470374,11.706007845296256,1701000.0,Americas
AMR,2016,MCV1,13401000.0,14531000.0,92.22352212511183,7.776477874888172,1130000.0,Americas
AMR,2016,MCV2,11877000.0,14076000.0,84.37766410912191,15.622335890878091,2199000.0,Americas
AMR,2016,PCV3,11965000.0,14091000.0,84.91235540415867,15.087644595841326,2126000.0,Americas
AMR,2016,Pol3,12579000.0,14531000.0,86.56665060904274,13.433349390957261,1952000.0,Americas
AMR,2016,RCV1,13401000.0,14531000.0,92.22352212511183,7.776477874888172,1130000.0,Americas
AMR,2016,Rotac,10632000.0,13618000.0,78.0731384931708,21.926861506829198,2986000.0,Americas
AMR,2016,YFV,3329000.0,6278000.0,53.026441541892325,46.973558458107675,2949000.0,Americas
AMR,2017,BCG,9470000.0,10278000.0,92.13854835571122,7.861451644288778,808000.0,Americas
AMR,2017,DTP1,13755000.0,14409000.0,95.46117010201957,4.538829897980435,654000.0,Americas
AMR,2017,DTP3,12720000.0,14409000.0,88.27815948365605,11.721840516343946,1689000.0,Americas
AMR,2017,Hepb3,12084000.0,14409000.0,83.86425150947325,16.13574849052675,2325000.0,Americas
AMR,2017,Hepbb,7793500.0,10935000.0,71.27114769090078,28.728852309099224,3141500.0,Americas
AMR,2017,Hib3,12744000.0,14409000.0,88.44472204871956,11.555277951280445,1665000.0,Americas
AMR,2017,IPV1,13513000.0,14409000.0,93.78166423762926,6.218335762370742,896000.0,Americas
AMR,2017,MCV1,12722000.0,14409000.0,88.29203969741134,11.70796030258866,1687000.0,Americas
AMR,2017,MCV2,11375000.0,14238000.0,79.89183874139626,20.108161258603744,2863000.0,Americas
AMR,2017,PCV3,11780000.0,13973000.0,84.30544621770557,15.694553782294435,2193000.0,Americas
AMR,2017,Pol3,12234000.0,14409000.0,84.90526754112014,15.09473245887986,2175000.0,Americas
AMR,2017,RCV1,12722000.0,14409000.0,88.29203969741134,11.70796030258866,1687000.0,Americas
AMR,2017,Rotac,10193000.0,13880000.0,73.43659942363112,26.563400576368878,3687000.0,Americas
AMR,2017,YFV,3747000.0,6293000.0,59.54234864134753,40.45765135865247,2546000.0,Americas
AMR,2018,BCG,9358000.0,10175000.0,91.97051597051598,8.029484029484024,817000.0,Americas
AMR,2018,DTP1,13057000.0,14238000.0,91.70529568759657,8.294704312403425,1181000.0,Americas
AMR,2018,DTP3,12538000.0,14238000.0,88.06012080348363,11.939879196516372,1700000.0,Americas
AMR,2018,Hepb3,11858000.0,14238000.0,83.2841691248771,16.715830875122904,2380000.0,Americas
AMR,2018,Hepbb,8022500.0,10819000.0,74.15195489416767,25.848045105832327,2796500.0,Americas
AMR,2018,Hib3,12327000.0,14238000.0,86.57817109144543,13.421828908554573,1911000.0,Americas
AMR,2018,IPV1,12693000.0,14238000.0,89.1487568478719,10.851243152128106,1545000.0,Americas
AMR,2018,MCV1,13000000.0,14238000.0,91.30495856159573,8.695041438404274,1238000.0,Americas
AMR,2018,MCV2,12478000.0,14864000.0,83.94779332615715,16.052206673842846,2386000.0,Americas
AMR,2018,PCV3,11706000.0,14062000.0,83.24562651116484,16.754373488835157,2356000.0,Americas
AMR,2018,Pol3,12341000.0,14238000.0,86.67649950835792,13.32350049164208,1897000.0,Americas
AMR,2018,RCV1,13000000.0,14238000.0,91.30495856159573,8.695041438404274,1238000.0,Americas
AMR,2018,Rotac,10415000.0,13712000.0,75.95536756126022,24.044632438739782,3297000.0,Americas
AMR,2018,YFV,3582000.0,6245000.0,57.35788630904723,42.64211369095277,2663000.0,Americas
AMR,2019,BCG,8314000.0,9945000.0,83.59979889391654,16.400201106083458,1631000.0,Americas
AMR,2019,DTP1,12438000.0,13965000.0,89.06552094522019,10.934479054779814,1527000.0,Americas
AMR,2019,DTP3,11684000.0,13965000.0,83.66630862871465,16.333691371285354,2281000.0,Americas
AMR,2019,Hepb3,11080000.0,13965000.0,79.34121016827784,20.65878983172216,2885000.0,Americas
AMR,2019,Hepbb,7806000.0,10863000.0,71.85860259596797,28.141397404032034,3057000.0,Americas
AMR,2019,Hib3,11597000.0,13965000.0,83.04332259219477,16.95667740780523,2368000.0,Americas
AMR,2019,IPV1,12430000.0,13965000.0,89.00823487289654,10.991765127103463,1535000.0,Americas
AMR,2019,MCV1,12192000.0,13965000.0,87.30397422126745,12.696025778732547,1773000.0,Americas
